"image_name","face","face.label","label","label.label"
"frame_E_1009.jpg","Yes","","Neutral Expression",""
"frame_E_1012.jpg","Yes","","Neutral Expression",""
"frame_E_1042.jpg","Yes","","Neutral Expression",""
"frame_E_1055.jpg","No","","Neutral Expression",""
"frame_E_1057.jpg","No","","Neutral Expression",""
"frame_E_1135.jpg","Yes","","Positive Emotion",""
"frame_E_1154.jpg","Yes","","Neutral Expression",""
"frame_E_1163.jpg","Yes","","Negative Emotion",""
"frame_E_1204.jpg","Yes","","Positive Emotion",""
"frame_E_1205.jpg","Yes","","Neutral Expression",""
"frame_E_1247.jpg","Yes","","Neutral Expression",""
"frame_E_1253.jpg","Yes","","Positive Emotion",""
"frame_E_1291.jpg","Yes","","Negative Emotion",""
"frame_E_1300.jpg","Yes","","Positive Emotion",""
"frame_E_1311.jpg","Yes","","Neutral Expression",""
"frame_E_1323.jpg","Yes","","Neutral Expression",""
"frame_E_1364.jpg","No","","Neutral Expression",""
"frame_E_1381.jpg","No","","Neutral Expression",""
"frame_E_1395.jpg","Yes","","Positive Emotion",""
"frame_E_1465.jpg","No","","Neutral Expression",""
"frame_E_1468.jpg","Yes","","Neutral Expression",""
"frame_E_1481.jpg","Yes","","Positive Emotion",""
"frame_E_1484.jpg","Yes","","Positive Emotion",""
"frame_E_1490.jpg","Yes","","Positive Emotion",""
"frame_E_1503.jpg","Yes","","Neutral Expression",""
"frame_E_1505.jpg","Yes","","Neutral Expression",""
"frame_E_1515.jpg","Yes","","Negative Emotion",""
"frame_E_1544.jpg","Yes","","Positive Emotion",""
"frame_E_1565.jpg","Yes","","Neutral Expression",""
"frame_E_1571.jpg","Yes","","Neutral Expression",""
"frame_E_1582.jpg","Yes","","Positive Emotion",""
"frame_E_1586.jpg","Yes","","Neutral Expression",""
"frame_E_1596.jpg","Yes","","Neutral Expression",""
"frame_E_1634.jpg","Yes","","Negative Emotion",""
"frame_E_1638.jpg","Yes","","Neutral Expression",""
"frame_E_1643.jpg","Yes","","Neutral Expression",""
"frame_E_1673.jpg","Yes","","Neutral Expression",""
"frame_E_1695.jpg","Yes","","Positive Emotion",""
"frame_E_1705.jpg","Yes","","Positive Emotion",""
"frame_E_1732.jpg","Yes","","Neutral Expression",""
"frame_E_1775.jpg","Yes","","Neutral Expression",""
"frame_E_1784.jpg","Yes","","Neutral Expression",""
"frame_E_1807.jpg","Yes","","Neutral Expression",""
"frame_E_1825.jpg","Yes","","Positive Emotion",""
"frame_E_1843.jpg","Yes","","Negative Emotion",""
"frame_E_1844.jpg","Yes","","Positive Emotion",""
"frame_E_1865.jpg","Yes","","Positive Emotion",""
"frame_E_1875.jpg","Yes","","Neutral Expression",""
"frame_E_1893.jpg","Yes","","Positive Emotion",""
"frame_E_1899.jpg","Yes","","Neutral Expression",""
"frame_E_1928.jpg","Yes","","Neutral Expression",""
"frame_E_1934.jpg","Yes","","Positive Emotion",""
"frame_E_1979.jpg","Yes","","Neutral Expression",""
"frame_E_1987.jpg","No","","Neutral Expression",""
"frame_E_2008.jpg","No","","Neutral Expression",""
"frame_E_2012.jpg","Yes","","Positive Emotion",""
"frame_E_2024.jpg","Yes","","Positive Emotion",""
"frame_E_2037.jpg","Yes","","Positive Emotion",""
"frame_E_2048.jpg","Yes","","Positive Emotion",""
"frame_E_2049.jpg","Yes","","Negative Emotion",""
"frame_E_2061.jpg","Yes","","Negative Emotion",""
"frame_E_2081.jpg","No","","Neutral Expression",""
"frame_E_2109.jpg","Yes","","Neutral Expression",""
"frame_E_2113.jpg","Yes","","Positive Emotion",""
"frame_E_2182.jpg","Yes","","Negative Emotion",""
"frame_E_2183.jpg","Yes","","Positive Emotion",""
"frame_E_2185.jpg","Yes","","Neutral Expression",""
"frame_E_2218.jpg","Yes","","Negative Emotion",""
"frame_E_2228.jpg","Yes","","Positive Emotion",""
"frame_E_2231.jpg","Yes","","Neutral Expression",""
"frame_E_2236.jpg","Yes","","Neutral Expression",""
